Config #    Energy                 Similarity Score    Most similar to (Config #; rCut)
1           -37.988522019364005    1.0                  Dict(26 => [1.333, 1.407])
2           -37.629446911311035    1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556], 20 => [1.333, 1.407, 1.481, 1.556], 25 => [1.333, 1.407, 1.481, 1.556], 10 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 9 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 17 => [1.333, 1.407, 1.481, 1.556])
3           -37.599095439721296    1.0                  Dict(5 => [1.333, 1.407, 1.481, 1.556, 1.704, 1.778, 1.852, 1.926], 13 => [1.333, 1.407, 1.481, 1.556], 8 => [1.333, 1.407, 1.481, 1.556])
4           -37.74423150564498     1.0                  Dict(6 => [1.333, 1.407, 1.481, 1.556], 20 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 10 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 9 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 25 => [1.333, 1.407, 1.481, 1.556], 17 => [1.333, 1.407, 1.481, 1.556])
5           -37.5782175658877      1.0                  Dict(13 => [1.333, 1.407, 1.481, 1.556], 8 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556, 1.704, 1.778, 1.852, 1.926])
6           -37.71689793399637     1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 20 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 10 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 9 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 25 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0], 17 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
7           -37.50328258065716     1.0                  Dict(14 => [1.333, 1.407, 1.481, 1.556, 1.63, 1.704, 1.778, 1.852, 1.926, 2.0])
8           -37.52043252847236     1.0                  Dict(5 => [1.333, 1.407, 1.481, 1.556], 13 => [1.333, 1.407, 1.481, 1.556], 3 => [1.333, 1.407, 1.481, 1.556])
9           -37.706030496004765    1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556], 20 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 10 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 25 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 17 => [1.333, 1.407, 1.481, 1.556])
10          -37.66087018736698     1.0                  Dict(4 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556], 20 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556], 25 => [1.333, 1.407, 1.481, 1.556], 18 => [1.333, 1.407, 1.481, 1.556], 9 => [1.333, 1.407, 1.481, 1.556], 12 => [1.333, 1.407, 1.481, 1.556], 17 => [1.333, 1.407, 1.481, 1.556])
11          -37.723268585038376    1.0                  Dict(29 => [1.333, 1.407, 1.481, 1.556])
