Config #    Energy                 Similarity Score    Most similar to (Config #; rCut)
5           -0.019823455143736     0.925                Dict(16 => [1.333])
16          -0.019600170201677     0.925                Dict(5 => [1.333])
13          -0.019679135094147     0.918                Dict(25 => [1.333])
25          -0.019700072828763     0.918                Dict(13 => [1.333])
14          -0.019388091053636     0.917                Dict(29 => [1.333])
29          -0.019707395745592     0.917                Dict(14 => [1.333])
21          -0.019651137707352     0.906                Dict(25 => [1.333])
28          -0.019826893281224     0.89                 Dict(5 => [1.333])
4           -0.0198429090095       0.875                Dict(23 => [1.333])
6           -0.019889912226437     0.875                Dict(17 => [1.333])
17          -0.019513959216711     0.875                Dict(6 => [1.333])
23          -0.019849742851655     0.875                Dict(4 => [1.333])
20          -0.019493557668631     0.864                Dict(14 => [1.333])
26          -0.019658659797462     0.863                Dict(17 => [1.333])
9           -0.019773585942745     0.861                Dict(12 => [1.333])
12          -0.019802152024175     0.861                Dict(9 => [1.333])
2           -0.019880058876132     0.854                Dict(11 => [1.333])
11          -0.019804063028678     0.854                Dict(2 => [1.333])
22          -0.019310443942824     0.847                Dict(14 => [1.333])
7           -0.020085652153298     0.833                Dict(2 => [1.333])
3           -0.019786212216706     0.823                Dict(12 => [1.333])
24          -0.020022485580148     0.818                Dict(3 => [1.333])
15          -0.019370081577524     0.817                Dict(29 => [1.407])
10          -0.019483023967254     0.811                Dict(25 => [1.407])
19          -0.01950522317073      0.798                Dict(21 => [1.333])
8           -0.020110741775326     0.733                Dict(3 => [1.333])
27          -0.019608047172272     0.641                Dict(26 => [1.481])
18          -0.019704869629699     0.635                Dict(27 => [1.333])
1           -0.020499364400706     0.506                Dict(18 => [1.481])
