Config #    Energy                 Similarity Score    Most similar to (Config #; rCut)
1           -39.69242703551135     1.0                  Dict(5 => [2.0], 6 => [1.852, 1.926, 2.0], 7 => [1.333, 1.407, 1.481, 1.556], 2 => [1.333, 1.407, 1.481, 1.556])
2           -39.68253362507804     1.0                  Dict(7 => [1.333, 1.407, 1.481, 1.556], 1 => [1.333, 1.407, 1.481, 1.556])
3           -39.44481409440793     1.0                  Dict(8 => [2.0])
5           -38.828134975183225    1.0                  Dict(6 => [1.333, 1.407, 1.481, 1.556, 1.704, 1.778, 2.0], 1 => [2.0])
6           -38.826049944021534    1.0                  Dict(5 => [1.333, 1.407, 1.481, 1.556, 1.704, 1.778, 2.0], 1 => [1.852, 1.926, 2.0])
7           -39.635536783792006    1.0                  Dict(2 => [1.333, 1.407, 1.481, 1.556], 1 => [1.333, 1.407, 1.481, 1.556])
8           -39.63696400520868     1.0                  Dict(3 => [2.0])
10          -39.7586430786516      0.921                Dict(5 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556])
11          -39.752182515605554    0.921                Dict(5 => [1.333, 1.407, 1.481, 1.556], 6 => [1.333, 1.407, 1.481, 1.556])
4           -39.436764905682686    0.829                Dict(7 => [1.333, 1.407], 2 => [1.333, 1.407], 1 => [1.333, 1.407])
9           -38.836004004163705    0.638                Dict(8 => [1.407])
