Config #    Energy                 Total CNA Profile
1           -37.988522019364005    Dict("(6,15,15)" => 8, "(8,23,23)" => 3, "(7,18,18)" => 12, "(6,14,14)" => 3, "(11,37,37)" => 1, "(8,24,24)" => 1, "(9,27,27)" => 4, "(9,28,28)" => 6, "(5,10,10)" => 10, "(7,19,19)" => 10, "(10,33,33)" => 2)
2           -37.629446911311035    Dict("(10,31,31)" => 1, "(10,32,32)" => 2, "(8,23,23)" => 6, "(7,18,18)" => 9, "(6,14,14)" => 9, "(9,27,27)" => 6, "(4,6,6)" => 2, "(9,28,28)" => 1, "(5,10,10)" => 9, "(7,17,17)" => 4, "(6,13,13)" => 2, "(7,19,19)" => 1, "(8,22,22)" => 1, "(5,9,9)" => 4, "(8,21,21)" => 2)
3           -37.599095439721296    Dict("(10,31,31)" => 2, "(10,32,32)" => 1, "(8,23,23)" => 3, "(7,18,18)" => 9, "(6,14,14)" => 5, "(9,27,27)" => 5, "(5,10,10)" => 8, "(7,17,17)" => 4, "(6,13,13)" => 8, "(7,19,19)" => 1, "(8,22,22)" => 2, "(9,25,25)" => 1, "(5,9,9)" => 7, "(8,21,21)" => 3)
4           -37.74423150564498     Dict("(6,15,15)" => 3, "(11,38,38)" => 1, "(6,14,14)" => 4, "(8,24,24)" => 8, "(9,27,27)" => 2, "(5,10,10)" => 2, "(7,17,17)" => 6, "(6,13,13)" => 6, "(7,19,19)" => 11, "(8,22,22)" => 2, "(10,33,33)" => 4, "(5,9,9)" => 7, "(8,21,21)" => 4, "(9,29,29)" => 1)
5           -37.5782175658877      Dict("(10,31,31)" => 2, "(10,32,32)" => 1, "(8,23,23)" => 3, "(7,18,18)" => 9, "(6,14,14)" => 5, "(9,27,27)" => 5, "(5,10,10)" => 8, "(7,17,17)" => 4, "(6,13,13)" => 8, "(7,19,19)" => 1, "(8,22,22)" => 2, "(9,25,25)" => 1, "(5,9,9)" => 7, "(8,21,21)" => 3)
6           -37.71689793399637     Dict("(8,23,23)" => 5, "(7,18,18)" => 9, "(6,14,14)" => 6, "(11,37,37)" => 1, "(4,6,6)" => 3, "(9,27,27)" => 4, "(9,28,28)" => 3, "(5,10,10)" => 4, "(7,17,17)" => 7, "(6,13,13)" => 7, "(7,19,19)" => 2, "(8,22,22)" => 1, "(10,33,33)" => 2, "(5,9,9)" => 4, "(8,21,21)" => 2)
7           -37.50328258065716     Dict("(6,13,13)" => 3, "(4,6,6)" => 3, "(10,31,31)" => 1, "(6,14,14)" => 13, "(5,10,10)" => 9, "(8,22,22)" => 6, "(10,30,30)" => 2, "(7,19,19)" => 3, "(7,17,17)" => 15, "(9,26,26)" => 3)
8           -37.52043252847236     Dict("(9,26,26)" => 3, "(8,23,23)" => 6, "(8,25,25)" => 2, "(6,14,14)" => 6, "(4,6,6)" => 10, "(9,28,28)" => 1, "(5,10,10)" => 2, "(7,17,17)" => 3, "(7,19,19)" => 9, "(6,13,13)" => 4, "(8,22,22)" => 6, "(8,21,21)" => 3, "(9,29,29)" => 3)
9           -37.706030496004765    Dict("(8,23,23)" => 10, "(8,25,25)" => 1, "(7,18,18)" => 5, "(6,14,14)" => 4, "(11,37,37)" => 1, "(9,27,27)" => 6, "(4,6,6)" => 2, "(5,10,10)" => 8, "(7,17,17)" => 2, "(7,19,19)" => 6, "(6,13,13)" => 4, "(8,22,22)" => 3, "(5,9,9)" => 4, "(9,29,29)" => 4)
10          -37.66087018736698     Dict("(10,31,31)" => 1, "(6,15,15)" => 7, "(9,26,26)" => 2, "(6,14,14)" => 6, "(8,24,24)" => 9, "(4,6,6)" => 3, "(9,27,27)" => 2, "(9,30,30)" => 4, "(7,19,19)" => 9, "(8,22,22)" => 4, "(10,33,33)" => 2, "(5,9,9)" => 8, "(8,21,21)" => 3)
11          -37.723268585038376    Dict("(6,15,15)" => 2, "(8,23,23)" => 3, "(7,18,18)" => 2, "(6,14,14)" => 9, "(8,24,24)" => 5, "(9,27,27)" => 2, "(4,6,6)" => 5, "(5,10,10)" => 2, "(7,17,17)" => 3, "(9,30,30)" => 2, "(7,19,19)" => 12, "(8,22,22)" => 4, "(10,33,33)" => 1, "(9,29,29)" => 6, "(10,35,35)" => 3)
12          -37.643189531489554    Dict("(10,31,31)" => 2, "(6,15,15)" => 1, "(8,23,23)" => 4, "(6,14,14)" => 14, "(8,24,24)" => 9, "(4,6,6)" => 5, "(9,27,27)" => 1, "(9,28,28)" => 6, "(5,10,10)" => 5, "(7,17,17)" => 6, "(6,13,13)" => 1, "(7,19,19)" => 4, "(10,33,33)" => 1)
13          -37.658754386693175    Dict("(9,26,26)" => 2, "(7,18,18)" => 8, "(6,14,14)" => 5, "(11,37,37)" => 1, "(4,6,6)" => 2, "(9,28,28)" => 3, "(5,10,10)" => 2, "(7,16,16)" => 2, "(7,17,17)" => 6, "(6,12,12)" => 2, "(6,13,13)" => 6, "(7,19,19)" => 4, "(8,22,22)" => 4, "(10,33,33)" => 2, "(5,9,9)" => 7, "(8,21,21)" => 4)
14          -37.50328258065715     Dict("(6,13,13)" => 3, "(4,6,6)" => 3, "(10,30,30)" => 2, "(6,14,14)" => 13, "(5,10,10)" => 9, "(8,22,22)" => 6, "(10,31,31)" => 1, "(7,19,19)" => 3, "(7,17,17)" => 15, "(9,26,26)" => 3)
15          -38.40605174999396     Dict("(6,13,13)" => 12, "(7,18,18)" => 6, "(8,22,22)" => 24, "(5,10,10)" => 12, "(11,37,37)" => 3, "(5,9,9)" => 3)
