Unique Config    Similarity Score     Energy Mean            Energy Std
[1]              1.0                  -37.988522019364005    NaN
[2]              1.0                  -37.629446911311035    NaN
[3]              1.0                  -37.599095439721296    NaN
[4]              1.0                  -37.74423150564498     NaN
[5]              1.0                  -37.5782175658877      NaN
[6, 25, 17]      1.0                  -37.71689793399637     5.0242958677880805e-15
[7, 14]          1.0                  -37.50328258065716     7.105427357601002e-15
[8]              1.0                  -37.52043252847236     NaN
[9]              1.0                  -37.706030496004765    NaN
[10]             1.0                  -37.66087018736698     NaN
[11]             1.0                  -37.723268585038376    NaN
[12]             1.0                  -37.643189531489554    NaN
[13]             1.0                  -37.658754386693175    NaN
[15]             1.0                  -38.40605174999396     NaN
[18]             1.0                  -37.821164551707305    NaN
[20]             1.0                  -37.564623585410146    NaN
[21]             1.0                  -38.2842559707634      NaN
[23, 27]         1.0                  -38.407716635655646    7.105427357601002e-15
[26]             1.0                  -38.158516815923704    NaN
[29]             1.0                  -37.70492261147633     NaN
[22]             0.919                -37.55543601956658     NaN
[30]             0.919                -38.42173239478512     NaN
[16]             0.897                -38.36089804821316     NaN
[24]             0.829                -38.10314379729535     NaN
[19]             0.825                -37.53414636037778     NaN
[28]             0.818                -38.02269256059339     NaN
