Unique Config    Similarity Score     Energy Mean            Energy Std
[5]              0.925                -0.019823455143736     NaN
[16]             0.925                -0.019600170201677     NaN
[13]             0.918                -0.019679135094147     NaN
[25]             0.918                -0.019700072828763     NaN
[14]             0.917                -0.019388091053636     NaN
[29]             0.917                -0.019707395745592     NaN
[21]             0.906                -0.019651137707352     NaN
[28]             0.89                 -0.019826893281224     NaN
[4]              0.875                -0.0198429090095       NaN
[6]              0.875                -0.019889912226437     NaN
[17]             0.875                -0.019513959216711     NaN
[23]             0.875                -0.019849742851655     NaN
[20]             0.864                -0.019493557668631     NaN
[26]             0.863                -0.019658659797462     NaN
[9]              0.861                -0.019773585942745     NaN
[12]             0.861                -0.019802152024175     NaN
[2]              0.854                -0.019880058876132     NaN
[11]             0.854                -0.019804063028678     NaN
[22]             0.847                -0.019310443942824     NaN
[7]              0.833                -0.020085652153298     NaN
[3]              0.823                -0.019786212216706     NaN
[24]             0.818                -0.020022485580148     NaN
[15]             0.817                -0.019370081577524     NaN
[10]             0.811                -0.019483023967254     NaN
[19]             0.798                -0.01950522317073      NaN
[8]              0.733                -0.020110741775326     NaN
[27]             0.641                -0.019608047172272     NaN
[18]             0.635                -0.019704869629699     NaN
[1]              0.506                -0.020499364400706     NaN
