Unique Config    Similarity Score     Energy Mean            Energy Std
[1]              1.0                  -39.69242703551135     NaN
[2]              1.0                  -39.68253362507804     NaN
[3]              1.0                  -39.44481409440793     NaN
[5]              1.0                  -38.828134975183225    NaN
[6]              1.0                  -38.826049944021534    NaN
[7]              1.0                  -39.635536783792006    NaN
[8]              1.0                  -39.63696400520868     NaN
[10]             0.921                -39.7586430786516      NaN
[11]             0.921                -39.752182515605554    NaN
[4]              0.829                -39.436764905682686    NaN
[9]              0.638                -38.836004004163705    NaN
