E	Entropy
-0.005568486594540857	-160.32315483844516
-0.005552124120185049	-158.54380912413336
-0.005543942883007145	-160.36498249051186
-0.005535761645829241	-158.0709352882342
-0.005527580408651337	-156.6428977696859
-0.005519399171473433	-155.42527533349613
-0.0055112179342955295	-154.68483248734893
-0.005503036697117625	-153.66486123209356
-0.005494855459939722	-152.8141664943025
-0.005486674222761817	-152.05394005680088
-0.005478492985583914	-151.3759036785831
-0.005470311748406009	-150.57209249616685
-0.005462130511228106	-149.91953996183935
-0.005453949274050202	-149.27537954051954
-0.005445768036872298	-148.39224633724945
-0.005437586799694394	-147.84598103037058
-0.00542940556251649	-147.26205415077735
-0.0054212243253385865	-146.56492842467168
-0.005413043088160682	-145.9606164718208
-0.0054048618509827786	-145.49381191724078
-0.005396680613804874	-144.9075293233694
-0.005388499376626971	-144.37247034984418
-0.005380318139449066	-143.859334732402
-0.005372136902271163	-143.33348305786276
-0.005363955665093258	-142.87961153772366
-0.005355774427915355	-142.35127001415762
-0.0053475931907374505	-141.88103011682873
-0.005339411953559547	-141.45158321640983
-0.0053312307163816425	-141.1417711729867
-0.005323049479203739	-140.6843591978606
-0.0053148682420258355	-140.34178212584212
-0.005306687004847931	-139.98264328308522
-0.005298505767670028	-139.42107913187493
-0.005290324530492123	-139.00004490192094
-0.00528214329331422	-138.7274908177052
-0.005273962056136315	-138.26076987556155
-0.005265780818958412	-137.87736395934945
-0.005257599581780507	-137.53158723603758
-0.005249418344602604	-137.24741168543974
-0.0052412371074246995	-137.01333377706146
-0.005233055870246796	-136.50367538614063
-0.005224874633068892	-136.20201905384067
-0.005216693395890988	-135.78451168434862
-0.005208512158713084	-135.5940367313659
-0.00520033092153518	-135.30011611726536
-0.005192149684357276	-135.0373607594215
-0.005183968447179372	-134.5824409383742
-0.005175787210001468	-134.21074203330926
-0.005167605972823564	-133.9375292099466
-0.00515942473564566	-133.60989119545837
-0.0051512434984677564	-133.55129413688357
-0.005143062261289853	-133.05516019150488
-0.0051348810241119485	-132.91832563784405
-0.005126699786934045	-132.49080472042573
-0.005118518549756141	-132.27218615719653
-0.005110337312578237	-131.93045790769654
-0.005102156075400333	-131.82161429896368
-0.005093974838222429	-131.3801264732513
-0.005085793601044525	-130.964019632855
-0.005077612363866621	-130.86195276327282
-0.005069431126688717	-130.57552374164624
-0.005061249889510813	-130.24801611805125
-0.005053068652332909	-130.1733135589113
-0.0050448874151550055	-129.79106577588084
-0.005036706177977101	-129.66301259725026
-0.005028524940799198	-129.35469402441268
-0.005020343703621293	-129.09597939372665
-0.00501216246644339	-128.8405761789195
-0.005003981229265486	-128.64734796477882
-0.004995799992087582	-128.4587002621888
-0.004987618754909677	-128.40599876924193
-0.004979437517731774	-128.19198801227776
-0.00497125628055387	-127.91186534828694
-0.004963075043375966	-127.60231084443026
-0.0049548938061980624	-127.36732797248479
-0.004946712569020158	-127.41551757635757
-0.0049385313318422545	-127.0733538750516
-0.00493035009466435	-126.82556669537712
-0.004922168857486447	-126.76558808982816
-0.004913987620308542	-126.2898262965843
-0.004905806383130639	-126.13257784610963
-0.004897625145952734	-125.74049042828153
-0.004889443908774831	-125.55989491889979
-0.0048812626715969264	-125.4879579956092
-0.004873081434419023	-125.33092947127722
-0.0048649001972411185	-124.99365338943257
-0.004856718960063215	-124.76761114857378
-0.004848537722885311	-124.76047716987655
-0.004840356485707407	-124.31396626309665
-0.004832175248529504	-124.2141238228591
-0.004823994011351599	-124.07720414170394
